City,State,Latitude,Longitude
Akron,OH,41.0798,-81.5219
Albuquerque,NM,35.1053,-106.6464
Allentown,PA,40.5961,-75.4756
Anaheim,CA,33.839,-117.8572
Atlanta,GA,33.7627,-84.4224
Augusta,GA,33.3645,-82.0708
Austin,TX,30.3004,-97.7522
Bakersfield,CA,35.3529,-119.0359
Baltimore,MD,39.3051,-76.6144
Baton Rouge,LA,30.4418,-91.131
Birmingham,AL,33.5277,-86.7987
Boise,ID,43.6007,-116.2312
Boston,MA,42.3188,-71.0846
Boulder,CO,40.0249,-105.2523
Buffalo,NY,42.9016,-78.8487
Charleston,SC,32.8153,-79.9628
Charlotte,NC,35.208,-80.8304
Chattanooga,TN,35.0657,-85.2488
Chicago,IL,41.8373,-87.6862
Cincinnati,OH,39.1413,-84.5061
Cleveland,OH,41.4767,-81.6804
Colorado Springs,CO,38.8674,-104.7606
Columbia,SC,34.0376,-80.9037
Columbus,OH,39.9862,-82.985
Dallas,TX,32.7936,-96.7662
Dayton,OH,39.7797,-84.1998
Denver,CO,39.7621,-104.8759
Des Moines,IA,41.5725,-93.6105
Detroit,MI,42.3834,-83.1024
Durham,NC,35.9794,-78.9031
El Paso,TX,31.8479,-106.4309
Fort Collins,CO,40.5478,-105.0656
Fort Lauderdale,FL,26.1412,-80.1464
Fort Worth,TX,32.7811,-97.3473
Fresno,CA,36.7831,-119.7941
Grand Rapids,MI,42.962,-85.6562
Greeley,CO,40.4151,-104.7706
Hartford,CT,41.7661,-72.6834
Honolulu,HI,21.3294,-157.846
Houston,TX,29.7863,-95.3889
Indianapolis,IN,39.7771,-86.1458
Irvine,CA,33.6772,-117.7738
Jackson,MS,32.3163,-90.2124
Jacksonville,FL,30.3322,-81.6749
Kansas City,MO,39.1239,-94.5541
Knoxville,TN,35.9692,-83.9496
Lakeland,FL,28.0556,-81.9545
Las Vegas,NV,36.2333,-115.2654
Little Rock,AR,34.7256,-92.3576
Long Beach,CA,33.7981,-118.1675
Los Angeles,CA,34.1139,-118.4068
Louisville,KY,38.1663,-85.6485
Madison,WI,43.0826,-89.3931
Memphis,TN,35.1046,-89.9773
Miami,FL,25.7839,-80.2102
Milwaukee,WI,43.0642,-87.9673
Minneapolis,MN,44.9635,-93.2678
Nashville,TN,36.1715,-86.7843
New Haven,CT,41.3112,-72.9246
New Orleans,LA,30.0687,-89.9288
New York,NY,40.6943,-73.9249
Oklahoma City,OK,35.4676,-97.5136
Omaha,NE,41.2627,-96.0522
Orlando,FL,28.4772,-81.3369
Philadelphia,PA,40.0077,-75.1339
Phoenix,AZ,33.5722,-112.0891
Pittsburgh,PA,40.4396,-79.9762
Portland,OR,45.5372,-122.65
Providence,RI,41.823,-71.4187
Provo,UT,40.2457,-111.6457
Raleigh,NC,35.8325,-78.6435
Richmond,VA,37.5295,-77.4756
Riverside,CA,33.9381,-117.3948
Rochester,NY,43.168,-77.6162
Sacramento,CA,38.5667,-121.4683
Salt Lake City,UT,40.7777,-111.9306
San Antonio,TX,29.4658,-98.5253
San Diego,CA,32.8312,-117.1225
San Francisco,CA,37.7562,-122.443
San Jose,CA,37.3019,-121.8486
Seattle,WA,47.6211,-122.3244
Spokane,WA,47.6671,-117.433
St. Louis,MO,38.6358,-90.2451
St. Paul,MN,44.9477,-93.104
Stamford,CT,41.1035,-73.5583
Stockton,CA,37.9765,-121.3109
Syracuse,NY,43.0409,-76.1438
Tampa,FL,27.9942,-82.4451
Toledo,OH,41.6639,-83.5822
Tucson,AZ,32.1545,-110.8782
Tulsa,OK,36.1284,-95.9042
Ventura,CA,34.2805,-119.2945
Virginia Beach,VA,36.7335,-76.0435
Washington,DC,38.9047,-77.0163
West Palm Beach,FL,26.7153,-80.0534
Wichita,KS,37.6896,-97.3442
Winston-Salem,NC,36.1029,-80.2611
Worcester,MA,42.2705,-71.8079